system,rep,term,average_kcal_per_mol,sd_prop,sd,sem_prop,sem,source_file,source_line
drugs3523,rep2,DELTA_EEL,56.14,0.62,22.92,0.06,2.28,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖EEL                     56.14          0.62      22.92         0.06       2.28
drugs3523,rep2,DELTA_1_4_EEL,-0.0,1.28,0.0,0.13,0.0,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖1-4 EEL                 -0.00          1.28       0.00         0.13       0.00
drugs3523,rep2,DELTA_EGB,-44.19,0.07,18.76,0.01,1.87,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖EGB                    -44.19          0.07      18.76         0.01       1.87
drugs3523,rep2,DELTA_ESURF,-3.88,0.56,1.37,0.06,0.14,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖ESURF                   -3.88          0.56       1.37         0.06       0.14
drugs3523,rep2,DELTA_GGAS,19.4,5.07,13.6,0.5,1.35,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖GGAS                    19.40          5.07      13.60         0.50       1.35
drugs3523,rep2,DELTA_GSOLV,-48.07,0.56,19.92,0.06,1.98,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖GSOLV                  -48.07          0.56      19.92         0.06       1.98
drugs3523,rep2,DELTA_TOTAL,-28.67,5.1,10.5,0.51,1.04,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖TOTAL                  -28.67          5.10      10.50         0.51       1.04
drugs3523,rep3,DELTA_VDWAALS,-66.09,0.11,6.2,0.01,0.62,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖VDWAALS                -66.09          0.11       6.20         0.01       0.62
drugs3523,rep3,DELTA_EEL,74.26,3.16,14.27,0.31,1.42,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖EEL                     74.26          3.16      14.27         0.31       1.42
drugs3523,rep3,DELTA_1_4_EEL,-0.0,1.14,0.0,0.11,0.0,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖1-4 EEL                 -0.00          1.14       0.00         0.11       0.00
drugs3523,rep3,DELTA_EGB,-50.59,2.78,12.87,0.28,1.28,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖EGB                    -50.59          2.78      12.87         0.28       1.28
drugs3523,rep3,DELTA_ESURF,-7.95,0.05,0.71,0.0,0.07,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖ESURF                   -7.95          0.05       0.71         0.00       0.07
drugs3523,rep3,DELTA_GGAS,8.18,3.17,16.32,0.31,1.62,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖GGAS                     8.18          3.17      16.32         0.31       1.62
drugs3523,rep3,DELTA_GSOLV,-58.54,2.78,12.68,0.28,1.26,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖GSOLV                  -58.54          2.78      12.68         0.28       1.26
drugs3523,rep3,DELTA_TOTAL,-50.36,4.22,6.45,0.42,0.64,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖TOTAL                  -50.36          4.22       6.45         0.42       0.64


