time_ps,mindist_nm
42930.0,0.1779155
42940.0,0.1756531
42950.0,0.1808539
42960.0,0.199422
42970.0,0.1704406
42980.0,0.2295146
42990.0,0.1912721
43000.0,0.2200908
43010.0,0.2026844
43020.0,0.1825542
43030.0,0.1876409
43040.0,0.1710733
43050.0,0.2023587
43060.0,0.2073404
43070.0,0.2001472
43080.0,0.1867275
43090.0,0.1823078
43100.0,0.1799834
43110.0,0.1768785
43120.0,0.1970785
43130.0,0.1736259
43140.0,0.1782721
43150.0,0.1893938
43160.0,0.187278
43170.0,0.2582421
43180.0,0.1993014
43190.0,0.2008082
43200.0,0.1852811
43210.0,0.20091
43220.0,0.192609
43230.0,0.1849892
43240.0,0.2020097
43250.0,0.1916375
43260.0,0.2200253
43270.0,0.2028399
43280.0,0.1886636
43290.0,0.2670604
43300.0,0.2115872
43310.0,0.2002348
43320.0,0.1849051
43330.0,0.1609007
43340.0,0.2112081
43350.0,0.2597325
43360.0,0.2505457
43370.0,0.2507876
43380.0,0.2502915
43390.0,0.2549863
43400.0,0.2588187
43410.0,0.2686464
43420.0,0.2393845
43430.0,0.2421835
43440.0,0.2561011
43450.0,0.2496659
43460.0,0.2329144
43470.0,0.2472988
43480.0,0.253373
43490.0,0.2498657
43500.0,0.2687268
43510.0,0.2513206
43520.0,0.2350533
43530.0,0.2159307
43540.0,0.1881384
43550.0,0.1900766
43560.0,0.2066708
43570.0,0.2241958
43580.0,0.2471964
43590.0,0.1755962
43600.0,0.1880987
43610.0,0.1929011
43620.0,0.203357
43630.0,0.1994143
43640.0,0.1834152
43650.0,0.1755252
43660.0,0.1726644
43670.0,0.1887855
43680.0,0.1951279
43690.0,0.2184326
43700.0,0.2400934
43710.0,0.2086768
43720.0,0.196443
43730.0,0.2048654
43740.0,0.1872218
43750.0,0.197185
43760.0,0.1954076
43770.0,0.1991528
43780.0,0.1962937
43790.0,0.2052756
43800.0,0.2156714
43810.0,0.2330082
43820.0,0.1940642
43830.0,0.1827456
43840.0,0.2120968
43850.0,0.1902078
43860.0,0.1916799
43870.0,0.2222743
43880.0,0.1776655
43890.0,0.1947459
43900.0,0.1860486
43910.0,0.2337548
43920.0,0.2037181
43930.0,0.1975802
43940.0,0.2551861
43950.0,0.2598578
43960.0,0.2561133
43970.0,0.2604798
43980.0,0.2647981
43990.0,0.2400055
44000.0,0.2520058
44010.0,0.237331
44020.0,0.2381031
44030.0,0.2697203
44040.0,0.2430553
44050.0,0.2798803
44060.0,0.2736625
44070.0,0.2490557
44080.0,0.2671053
44090.0,0.2502918
44100.0,0.2368715
44110.0,0.2640777
44120.0,0.2501867
44130.0,0.2536377
44140.0,0.2451803
44150.0,0.2601731
44160.0,0.2546547
44170.0,0.2521373
44180.0,0.2448959
44190.0,0.2383381
44200.0,0.2237792
44210.0,0.238401
44220.0,0.2137032
44230.0,0.2642063
44240.0,0.2376787
44250.0,0.230514
44260.0,0.2514949
44270.0,0.259064
44280.0,0.2640848
44290.0,0.2541696
44300.0,0.2183077
44310.0,0.2462091
44320.0,0.2611566
44330.0,0.22841
44340.0,0.2131218
44350.0,0.2552823
44360.0,0.1921921
44370.0,0.2574126
44380.0,0.2373649
44390.0,0.2422666
44400.0,0.2560489
44410.0,0.2559572
44420.0,0.2509062
44430.0,0.2508637
44440.0,0.243553
44450.0,0.236546
44460.0,0.2517503
44470.0,0.2533576
44480.0,0.2637636
44490.0,0.1840928
44500.0,0.2614364
44510.0,0.2309526
44520.0,0.2571478
44530.0,0.2604672
44540.0,0.2360972
44550.0,0.258691
44560.0,0.25501
44570.0,0.2720756
44580.0,0.235314
44590.0,0.2095633
44600.0,0.234966
44610.0,0.2608179
44620.0,0.2399352
44630.0,0.2281468
44640.0,0.2282301
44650.0,0.2674432
44660.0,0.2290742
44670.0,0.2543895
44680.0,0.2588404
44690.0,0.258662
44700.0,0.2526087
44710.0,0.2492184
44720.0,0.2455589
44730.0,0.2422993
44740.0,0.2662686
44750.0,0.269529
44760.0,0.2673577
44770.0,0.255392
44780.0,0.2609697
44790.0,0.2533633
44800.0,0.2356629
44810.0,0.2405127
44820.0,0.2373372
44830.0,0.2515773
44840.0,0.2546999
44850.0,0.2376568
44860.0,0.2502537
44870.0,0.2535864
44880.0,0.2514778
44890.0,0.2479518
44900.0,0.2450102
44910.0,0.2459449
