time_ps,rg_nm,rg_x_nm,rg_y_nm,rg_z_nm
3500.0,3.58001,2.79521,3.28661,2.64915
3510.0,3.57369,2.78636,3.28626,2.64181
3520.0,3.54806,2.76652,3.26027,2.62573
3530.0,3.56856,2.78717,3.27994,2.63496
3540.0,3.58265,2.79385,3.2937,2.64891
3550.0,3.58015,2.79861,3.28761,2.64469
3560.0,3.57248,2.79118,3.28835,2.63083
3570.0,3.5521,2.77952,3.26342,2.61903
3580.0,3.55097,2.78214,3.26082,2.61639
3590.0,3.5358,2.77149,3.2462,2.60476
3600.0,3.52141,2.76347,3.23302,2.59065
3610.0,3.50905,2.76595,3.2138,2.57836
3620.0,3.53127,2.77849,3.23795,2.59526
3630.0,3.54634,2.7929,3.25412,2.60067
3640.0,3.53874,2.79067,3.2472,2.59097
3650.0,3.57377,2.81038,3.28113,2.6229
3660.0,3.54064,2.78336,3.24468,2.60716
3670.0,3.55262,2.78938,3.25739,2.61744
3680.0,3.54658,2.78293,3.24797,2.61962
3690.0,3.49448,2.7537,3.1927,2.5781
3700.0,3.52823,2.78249,3.22148,2.6032
3710.0,3.52611,2.77485,3.22486,2.6014
3720.0,3.50803,2.76395,3.20636,2.58696
3730.0,3.52016,2.76723,3.22408,2.59437
3740.0,3.50939,2.75408,3.21498,2.59049
3750.0,3.47344,2.72987,3.17665,2.56638
3760.0,3.47145,2.73078,3.17386,2.56348
3770.0,3.50263,2.75258,3.20944,2.58063
3780.0,3.53491,2.77246,3.23836,2.61105
3790.0,3.52962,2.77094,3.2349,2.60264
3800.0,3.49881,2.74557,3.20293,2.5858
3810.0,3.46691,2.72787,3.16414,2.56631
3820.0,3.42611,2.69976,3.12195,2.53794
3830.0,3.44277,2.71322,3.14549,2.53963
3840.0,3.44009,2.69862,3.14729,2.54567
3850.0,3.42815,2.68883,3.12905,2.5463
3860.0,3.4306,2.69171,3.12767,2.55155
3870.0,3.40002,2.66658,3.09615,2.53445
3880.0,3.43952,2.6946,3.14023,2.55708
3890.0,3.43394,2.69654,3.12903,2.55375
3900.0,3.44884,2.69538,3.1555,2.56258
3910.0,3.46509,2.70986,3.17141,2.57147
3920.0,3.43253,2.68758,3.13573,2.55121
3930.0,3.41448,2.67661,3.11985,2.53369
3940.0,3.43676,2.70279,3.13612,2.54604
3950.0,3.44205,2.70682,3.13726,2.55462
3960.0,3.39921,2.66879,3.09368,2.53297
3970.0,3.3981,2.66955,3.0892,2.53467
3980.0,3.45214,2.70403,3.14445,2.57588
3990.0,3.46566,2.71576,3.15954,2.58138
4000.0,3.41756,2.67502,3.11229,2.55293
4010.0,3.40745,2.67528,3.09724,2.5439
4020.0,3.3946,2.66942,3.07804,2.539
4030.0,3.425,2.6921,3.11311,2.55389
4040.0,3.41101,2.68766,3.09788,2.53961
4050.0,3.41986,2.69776,3.11239,2.53494
4060.0,3.41546,2.69747,3.11362,2.52185
4070.0,3.42544,2.70396,3.12173,2.53194
4080.0,3.45889,2.72158,3.15821,2.55862
4090.0,3.42401,2.69361,3.12375,2.53659
4100.0,3.40186,2.68055,3.09879,2.5214
4110.0,3.36156,2.6466,3.05906,2.49756
4120.0,3.37807,2.66104,3.07673,2.50506
4130.0,3.34655,2.63897,3.04353,2.48426
4140.0,3.3704,2.65997,3.07238,2.49083
4150.0,3.3356,2.63281,3.03398,2.47299
4160.0,3.33353,2.62472,3.03932,2.46947
4170.0,3.35286,2.64228,3.05331,2.48575
4180.0,3.3598,2.65284,3.05637,2.48949
4190.0,3.34801,2.64693,3.04679,2.47573
4200.0,3.34131,2.63537,3.03903,2.47949
4210.0,3.31149,2.61631,3.00693,2.4587
4220.0,3.32353,2.62646,3.01573,2.46957
4230.0,3.31042,2.62093,2.9948,2.4657
4240.0,3.29759,2.60447,2.98566,2.45983
4250.0,3.30477,2.60888,2.99836,2.45898
4260.0,3.34139,2.63513,3.03536,2.48445
4270.0,3.34737,2.63376,3.04403,2.49138
4280.0,3.3571,2.65043,3.05662,2.48447
4290.0,3.37009,2.66218,3.06503,2.49669
4300.0,3.37106,2.66554,3.0701,2.48947
4310.0,3.38083,2.67179,3.07696,2.50078
4320.0,3.31643,2.62065,3.013,2.45998
4330.0,3.32781,2.63376,3.02127,2.46657
4340.0,3.35747,2.65922,3.04947,2.48485
4350.0,3.36352,2.67053,3.05242,2.48548
4360.0,3.38467,2.68196,3.07909,2.49765
4370.0,3.3801,2.67804,3.08134,2.48668
4380.0,3.40359,2.69164,3.10267,2.50947
4390.0,3.4604,2.73814,3.1492,2.55615
4400.0,3.43685,2.72816,3.12879,2.52818
4410.0,3.44013,2.72454,3.13728,2.53049
4420.0,3.48811,2.75945,3.1823,2.56755
4430.0,3.45964,2.73385,3.16003,2.54528
4440.0,3.46355,2.73991,3.16226,2.54664
4450.0,3.47401,2.74714,3.17305,2.55392
4460.0,3.4557,2.72914,3.16211,2.53703
4470.0,3.46241,2.7299,3.16821,2.54688
4480.0,3.43936,2.72334,3.13737,2.52958
4490.0,3.42928,2.70989,3.12782,2.52847
4500.0,3.42936,2.709,3.13283,2.52343
4510.0,3.42335,2.7072,3.12306,2.52115
4520.0,3.43669,2.7231,3.13785,2.52198
4530.0,3.4377,2.72365,3.14462,2.51568
4540.0,3.40123,2.68397,3.11141,2.50041
4550.0,3.41341,2.6979,3.11829,2.51005
4560.0,3.40043,2.69641,3.10112,2.49765
4570.0,3.4029,2.69089,3.10711,2.50287
4580.0,3.42354,2.7016,3.12307,2.52766
4590.0,3.44117,2.71026,3.13694,2.54901
4600.0,3.44071,2.70367,3.13616,2.5557
4610.0,3.41413,2.68397,3.112,2.53462
4620.0,3.38822,2.66226,3.08232,2.52422
4630.0,3.43767,2.70074,3.12803,2.5606
4640.0,3.45165,2.70657,3.14214,2.57472
4650.0,3.39447,2.66616,3.08723,2.53091
4660.0,3.39418,2.67137,3.082,2.53101
4670.0,3.44544,2.70882,3.12863,2.57217
4680.0,3.43892,2.69758,3.12898,2.56609
4690.0,3.50784,2.74618,3.19636,2.61758
4700.0,3.53302,2.76259,3.22446,2.63351
4710.0,3.54476,2.77062,3.23596,2.64253
4720.0,3.52903,2.75303,3.22534,2.63176
4730.0,3.53178,2.75357,3.2307,2.63199
4740.0,3.57121,2.77786,3.27021,2.66389
4750.0,3.6001,2.79866,3.30293,2.6795
4760.0,3.61379,2.8068,3.31915,2.68775
4770.0,3.58327,2.788,3.28527,2.66714
4780.0,3.57806,2.77898,3.27773,2.67186
4790.0,3.60404,2.79826,3.31156,2.67982
4800.0,3.57753,2.77525,3.28895,2.6605
4810.0,3.60399,2.79188,3.31397,2.68339
4820.0,3.57045,2.76558,3.27696,2.66634
4830.0,3.56588,2.75903,3.27385,2.66469
4840.0,3.59714,2.78254,3.30417,2.68679
4850.0,3.54765,2.75161,3.25439,2.64749
4860.0,3.55818,2.7599,3.26715,2.65141
4870.0,3.61714,2.79633,3.33507,2.68797
4880.0,3.61262,2.79879,3.32781,2.68227
4890.0,3.60888,2.80663,3.31775,2.67645
4900.0,3.61681,2.81382,3.3196,2.68799
4910.0,3.63435,2.83688,3.33211,2.69558
4920.0,3.61405,2.81678,3.31268,2.686
4930.0,3.55238,2.76399,3.25508,2.64645
4940.0,3.59109,2.79342,3.29513,2.67036
4950.0,3.52919,2.73666,3.23782,2.63394
4960.0,3.54721,2.7506,3.25193,2.6504
4970.0,3.57971,2.77106,3.28464,2.67602
4980.0,3.58645,2.77226,3.29114,2.68481
4990.0,3.56512,2.76858,3.26372,2.6652
5000.0,3.56304,2.76559,3.26375,2.66269
5010.0,3.53119,2.74381,3.23384,2.63673
5020.0,3.55357,2.76534,3.25692,2.64597
5030.0,3.53351,2.74915,3.23957,2.63036
5040.0,3.52535,2.74629,3.22985,2.62338
5050.0,3.54468,2.75983,3.25106,2.63504
5060.0,3.54941,2.76843,3.25638,2.63219
5070.0,3.57271,2.77886,3.28496,2.64868
5080.0,3.59446,2.79612,3.3034,2.66638
5090.0,3.53893,2.75211,3.2534,2.62473
5100.0,3.53181,2.74719,3.24568,2.62026
5110.0,3.51326,2.73451,3.22757,2.60599
5120.0,3.53195,2.74577,3.24458,2.62351
5130.0,3.49641,2.72022,3.20719,2.6008
5140.0,3.53712,2.75067,3.24569,2.63091
5150.0,3.58189,2.77597,3.29583,2.66295
5160.0,3.64234,2.82378,3.35086,2.70765
5170.0,3.61773,2.80209,3.32958,2.69038
5180.0,3.56184,2.76319,3.27759,2.64491
5190.0,3.56085,2.76331,3.2783,2.64124
5200.0,3.55372,2.77164,3.26727,2.62694
5210.0,3.51983,2.74019,3.23738,2.6056
5220.0,3.5162,2.74108,3.23221,2.60127
5230.0,3.50625,2.73226,3.22369,2.59426
5240.0,3.50119,2.73063,3.22016,2.58669
5250.0,3.54552,2.77097,3.25926,2.61539
5260.0,3.49964,2.73656,3.21267,2.58554
5270.0,3.49525,2.73445,3.20239,2.58861
5280.0,3.49358,2.73455,3.20201,2.5845
5290.0,3.49806,2.74061,3.20506,2.5864
5300.0,3.49917,2.73295,3.21154,2.58947
5310.0,3.47584,2.71434,3.19172,2.57066
5320.0,3.46833,2.71293,3.17705,2.57001
5330.0,3.46899,2.71439,3.17656,2.57087
5340.0,3.49867,2.73275,3.20961,2.59072
5350.0,3.51069,2.74412,3.21976,2.59861
5360.0,3.51265,2.74196,3.22077,2.60495
5370.0,3.46445,2.70267,3.17353,2.57471
5380.0,3.49078,2.71817,3.19888,2.59803
5390.0,3.4541,2.67984,3.16511,2.58111
5400.0,3.4167,2.65193,3.13014,2.55288
5410.0,3.39815,2.63626,3.11098,2.543
5420.0,3.37445,2.61907,3.09004,2.52308
5430.0,3.41905,2.6572,3.1323,2.55105
5440.0,3.43109,2.67324,3.14063,2.55637
5450.0,3.47647,2.71459,3.18633,2.57875
5460.0,3.4646,2.70471,3.17594,2.56999
5470.0,3.38732,2.63981,3.09689,2.52756
5480.0,3.42743,2.67146,3.1364,2.55358
5490.0,3.40798,2.65707,3.12315,2.5327
5500.0,3.38913,2.63911,3.10212,2.52672
5510.0,3.44319,2.68231,3.15374,2.56325
5520.0,3.41993,2.6638,3.12687,2.55317
5530.0,3.43981,2.68006,3.14348,2.56912
5540.0,3.43282,2.67423,3.13867,2.56239
5550.0,3.42324,2.66108,3.13112,2.55966
5560.0,3.45675,2.68796,3.16529,2.57954
5570.0,3.48931,2.70439,3.19968,2.60747
5580.0,3.46629,2.68794,3.17672,2.59111
