GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
70,13.69,45.44,33.15,-16.92,39.74,23.39,60.31,-154.44,4.44,198.8,-150.01,48.79
71,18.6,54.97,39.8,-16.72,43.36,18.54,59.5,-157.01,4.43,218.05,-152.58,65.47
72,15.57,54.92,34.05,-16.57,40.53,22.75,59.84,-154.75,4.41,211.09,-150.35,60.75
73,23.99,51.45,39.3,-14.63,40.12,22.08,59.92,-153.89,4.41,222.23,-149.47,72.76
74,15.38,47.54,33.37,-15.43,39.03,20.06,60.34,-154.56,4.45,200.29,-150.11,50.18
75,17.79,58.07,35.74,-16.54,41.77,19.22,60.0,-154.95,4.41,216.05,-150.54,65.51
76,18.6,43.99,31.76,-14.8,40.7,21.1,60.22,-154.76,4.43,201.57,-150.33,51.24
77,20.44,45.93,35.3,-15.68,39.65,26.59,61.16,-152.92,4.4,213.39,-148.52,64.87
78,16.55,47.49,33.39,-16.16,41.47,21.22,59.69,-155.76,4.47,203.66,-151.29,52.37
79,24.48,46.35,27.87,-12.33,41.73,19.99,60.17,-154.29,4.39,208.25,-149.9,58.35
80,18.91,56.3,37.32,-17.23,39.4,19.36,60.93,-155.19,4.41,214.99,-150.78,64.2
81,12.87,49.69,39.3,-18.1,40.25,19.2,60.14,-154.53,4.38,203.35,-150.16,53.2
82,22.8,57.69,41.84,-17.75,42.99,20.73,59.7,-158.65,4.41,228.02,-154.24,73.78
83,22.62,55.79,33.57,-15.41,39.82,22.27,60.66,-155.56,4.43,219.34,-151.13,68.21
84,25.79,43.99,32.75,-13.8,43.61,21.27,59.78,-155.63,4.43,213.39,-151.2,62.19
85,25.74,55.4,36.71,-15.49,39.93,19.32,59.6,-155.98,4.47,221.2,-151.51,69.69
86,20.38,52.73,34.96,-15.04,39.91,20.63,60.39,-153.09,4.44,213.97,-148.65,65.32
87,13.42,61.39,39.1,-15.88,39.96,20.64,60.04,-153.71,4.41,218.68,-149.31,69.37
88,15.44,48.37,29.28,-14.37,40.21,21.88,60.42,-154.89,4.42,201.22,-150.47,50.74
89,20.83,51.73,32.38,-14.62,40.95,21.02,59.36,-155.25,4.4,211.64,-150.84,60.79
90,22.46,56.86,32.71,-12.34,41.79,19.13,59.76,-156.35,4.44,220.38,-151.92,68.46
91,20.37,58.32,33.74,-17.11,39.27,21.36,60.76,-154.25,4.47,216.7,-149.78,66.92
92,25.4,46.97,29.68,-15.19,40.84,22.15,59.37,-155.67,4.36,209.21,-151.31,57.9
93,17.72,51.56,29.58,-16.42,42.44,18.86,59.61,-156.24,4.39,203.36,-151.86,51.5
94,18.98,48.77,37.72,-17.43,40.79,20.99,60.16,-155.03,4.34,209.97,-150.68,59.28
95,17.67,46.94,29.23,-13.02,40.23,22.44,61.17,-154.98,4.44,204.66,-150.54,54.12
96,27.39,51.81,34.63,-17.48,39.32,19.96,59.69,-153.45,4.39,215.32,-149.06,66.26
97,14.55,50.12,32.99,-15.35,40.58,22.96,60.57,-154.72,4.41,206.42,-150.32,56.1
98,18.12,44.61,33.44,-12.7,43.88,20.55,59.76,-156.7,4.44,207.65,-152.27,55.39
99,19.08,50.62,30.78,-17.37,39.97,21.48,61.22,-154.95,4.38,205.78,-150.57,55.21
100,18.11,54.28,37.14,-16.71,39.97,19.03,59.48,-156.14,4.35,211.31,-151.8,59.51
101,25.19,44.64,32.85,-13.33,39.62,19.35,61.09,-154.64,4.39,209.41,-150.25,59.16

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,-0.0,0.0,0.0,-35.57,-237.54,0.0,-0.0,259.03,-4.02,-273.11,255.01,-18.1
2,0.0,-0.0,0.0,-34.3,-248.23,0.0,0.0,269.96,-4.28,-282.53,265.67,-16.85
3,0.0,-0.0,-0.0,-33.09,-223.96,0.0,0.0,241.61,-3.93,-257.05,237.67,-19.38
4,0.0,0.0,0.0,-35.61,-260.55,-0.0,0.0,277.82,-4.0,-296.15,273.82,-22.34
5,-0.0,-0.0,0.0,-30.14,-242.99,0.0,0.0,259.78,-3.43,-273.13,256.35,-16.78
6,0.0,-0.0,-0.0,-31.8,-232.27,0.0,-0.0,250.49,-3.74,-264.07,246.75,-17.32
7,0.0,-0.0,0.0,-29.77,-207.06,0.0,-0.0,223.54,-3.27,-236.82,220.27,-16.56
8,-0.0,-0.0,0.0,-31.23,-243.67,0.0,0.0,261.7,-3.85,-274.91,257.86,-17.05
9,-0.0,0.0,-0.0,-0.0,-22.07,0.0,0.0,22.07,-0.0,-22.07,22.07,-0.0
10,-0.0,-0.0,0.0,-0.0,-22.37,0.0,-0.0,22.37,-0.0,-22.37,22.37,-0.0
11,-0.0,0.0,0.0,-0.0,-25.35,-0.0,0.0,25.35,-0.0,-25.35,25.35,-0.0
12,-0.0,0.0,-0.0,-28.65,-223.93,-0.0,-0.0,239.18,-3.12,-252.57,236.06,-16.52
13,-0.0,-0.0,-0.0,-28.32,-238.23,0.0,-0.0,256.22,-3.12,-266.55,253.1,-13.45
14,0.0,0.0,0.0,-0.0,-23.11,-0.0,0.0,23.11,-0.0,-23.11,23.11,-0.0
15,-0.0,0.0,0.0,-33.04,-285.48,0.0,0.0,301.16,-4.55,-318.53,296.61,-21.92
16,-0.0,-0.0,-0.0,-0.0,-22.29,0.0,0.0,22.29,-0.0,-22.29,22.29,-0.0
17,-0.0,-0.0,0.0,-30.42,-289.42,0.0,0.0,299.5,-4.39,-319.84,295.11,-24.73
18,0.0,-0.0,-0.0,-0.0,-23.8,-0.0,0.0,23.8,-0.0,-23.8,23.8,-0.0
19,-0.0,0.0,-0.0,-0.0,-21.39,-0.0,0.0,21.39,0.0,-21.39,21.39,-0.0
20,-0.0,0.0,-0.0,-0.0,-20.95,0.0,0.0,20.95,-0.0,-20.95,20.95,-0.0
21,-0.0,-0.0,-0.0,-37.83,-289.54,-0.0,0.0,307.4,-4.6,-327.36,302.8,-24.56
22,0.0,0.0,0.0,-30.63,-302.57,0.0,0.0,317.96,-4.68,-333.19,313.28,-19.91
23,0.0,-0.0,-0.0,-38.24,-314.6,0.0,0.0,328.84,-4.72,-352.84,324.12,-28.72
24,0.0,-0.0,-0.0,-0.0,-17.54,-0.0,0.0,17.54,0.0,-17.54,17.54,0.0
25,-0.0,0.0,-0.0,-0.0,-16.81,-0.0,-0.0,16.81,-0.0,-16.81,16.81,0.0
26,0.0,-0.0,-0.0,-34.41,-306.74,0.0,0.0,322.53,-4.55,-341.14,317.98,-23.16
27,0.0,-0.0,-0.0,-37.89,-289.67,-0.0,-0.0,307.67,-4.77,-327.56,302.9,-24.65
28,-0.0,-0.0,-0.0,-35.38,-255.29,0.0,-0.0,270.31,-4.44,-290.67,265.87,-24.8
29,-0.0,-0.0,0.0,-35.96,-272.1,-0.0,-0.0,286.28,-4.64,-308.06,281.64,-26.42
30,-0.0,-0.0,-0.0,-39.69,-270.29,-0.0,-0.0,290.49,-4.81,-309.98,285.68,-24.29
31,0.0,-0.0,-0.0,-40.09,-283.8,0.0,0.0,302.93,-4.69,-323.9,298.23,-25.66
32,0.0,-0.0,0.0,-36.36,-287.94,0.0,-0.0,307.53,-4.74,-324.3,302.79,-21.51
33,0.0,0.0,0.0,-36.35,-297.63,0.0,-0.0,313.08,-4.66,-333.98,308.42,-25.56
34,-0.0,0.0,0.0,-35.11,-296.06,0.0,-0.0,307.65,-4.44,-331.16,303.21,-27.95
35,0.0,-0.0,-0.0,-34.08,-289.53,0.0,-0.0,304.76,-4.54,-323.61,300.22,-23.39
36,0.0,-0.0,0.0,-36.31,-280.92,0.0,-0.0,297.75,-4.44,-317.23,293.31,-23.92
37,0.0,0.0,-0.0,-35.36,-299.32,-0.0,-0.0,312.82,-4.68,-334.68,308.14,-26.54
38,-0.0,0.0,-0.0,-36.79,-289.57,-0.0,0.0,305.79,-4.8,-326.37,301.0,-25.37
39,-0.0,0.0,-0.0,-34.45,-290.02,-0.0,0.0,302.96,-4.67,-324.48,298.29,-26.19
